dgp,Ts,beta,lam,score,coverage,width
shape,20,fixed,0.8,4.630050640444098,0.8852732500000002,3.0782613041665505
shape,20,fixed,0.9,4.738532549352729,0.8790252500000004,3.2464202574666494
shape,20,fixed,1.0,4.868602801487599,0.8645381250000002,3.414579210766743
shape,50,search,0.0,4.7350181000419385,0.8359126249999996,1.506043365740932
shape,50,search,0.1,4.651637885936566,0.8535531250000004,1.5707580658269897
shape,50,search,0.2,4.580705387285892,0.8651225000000002,1.624014980740887
shape,50,search,0.3,4.520833742990575,0.8741358750000002,1.6721855618692634
shape,50,search,0.4,4.485572477082241,0.8793361249999997,1.714311897093218
shape,50,search,0.5,4.46137433714943,0.8843612500000008,1.749243253478507
shape,50,search,0.6,4.429456626537487,0.8880424999999998,1.7771288557216873
shape,50,search,0.7,4.417353385321308,0.8920078750000003,1.7975581366728797
shape,50,search,0.8,4.387984535734051,0.8946713749999996,1.8091578883444246
shape,50,search,0.9,4.352198170060166,0.8968067499999999,1.8123113395010195
shape,50,search,1.0,4.2980498888452106,0.8837651249999995,1.8046550923341993
shape,50,fixed,0.0,4.489747061911483,0.8252018750000001,1.597159693643448
shape,50,fixed,0.1,4.324970695509312,0.8451358750000001,1.7561541603452848
shape,50,fixed,0.2,4.224694505021119,0.8610250000000004,1.91514862704712
shape,50,fixed,0.3,4.169692808454643,0.8740476250000002,2.074143093748957
shape,50,fixed,0.4,4.148434208692499,0.8848853749999995,2.2331375604507935
shape,50,fixed,0.5,4.1535721381320965,0.8938523750000005,2.3921320271526283
shape,50,fixed,0.6,4.180064661395237,0.9013333750000005,2.5511264938544627
shape,50,fixed,0.7,4.224356580198862,0.9069777500000005,2.7101209605562993
shape,50,fixed,0.8,4.284004770776509,0.9103831250000004,2.8691154272581367
shape,50,fixed,0.9,4.357662809504393,0.9106323749999995,3.0281098939599733
shape,50,fixed,1.0,4.445490033540096,0.9072793749999999,3.1871043606618086
null,20,search,0.0,4.508907840661592,0.8783635000000004,3.3778334288024903
null,20,search,0.1,4.457883106054918,0.8826202500000001,3.3820635213058727
null,20,search,0.2,4.421276607161009,0.8850614999999998,3.3786509299878777
null,20,search,0.3,4.402165262600257,0.8860192499999998,3.373662987995454
null,20,search,0.4,4.416437413530738,0.8840040000000007,3.362526244529636
null,20,search,0.5,4.439256138778033,0.8804746250000001,3.344655410553933
null,20,search,0.6,4.474837108965616,0.8749748749999998,3.316973396947088
null,20,search,0.7,4.514183514188625,0.8684372499999999,3.2770432163999215
null,20,search,0.8,4.581620477105982,0.857272375,3.2154956952506213
null,20,search,0.9,4.655470907437312,0.8424524999999998,3.1106818948616834
null,20,search,1.0,4.738977132994877,0.8210923750000003,2.9488856465985944
null,20,fixed,0.0,4.485619003601895,0.8856116250000003,3.435231779856189
null,20,fixed,0.1,4.4387058293819734,0.8880812499999996,3.422939902840532
null,20,fixed,0.2,4.405029468189658,0.8895927500000004,3.4106480258248726
null,20,fixed,0.3,4.383935579038828,0.8900127499999998,3.3983561488092104
null,20,fixed,0.4,4.37508791646886,0.8895411250000002,3.3860642717935496
null,20,fixed,0.5,4.378395827736345,0.888017125,3.3737723947778937
null,20,fixed,0.6,4.3940633711831385,0.8855927499999996,3.3614805177622307
null,20,fixed,0.7,4.4224218815208225,0.8821305,3.3491886407465707
null,20,fixed,0.8,4.464152112828146,0.8776176250000001,3.3368967637309113
null,20,fixed,0.9,4.520257721398837,0.8720768749999999,3.3246048867152522
null,20,fixed,1.0,4.591821080141649,0.8654847500000001,3.312313009699594
null,50,search,0.0,4.304261335341412,0.8861314999999997,3.295350414032077
null,50,search,0.1,4.284614033785705,0.8889982500000002,3.3078222592828865
null,50,search,0.2,4.2710267401151505,0.8901682499999997,3.30919453577596
null,50,search,0.3,4.267199999196632,0.8897948749999994,3.3026532884344046
null,50,search,0.4,4.262115655748599,0.8891652499999997,3.292153911543113
null,50,search,0.5,4.27369317769181,0.8867553750000007,3.277692701307628
null,50,search,0.6,4.286738070511984,0.8839361250000001,3.259559605417949
null,50,search,0.7,4.304624669869663,0.8804726249999997,3.2389338578062854
null,50,search,0.8,4.330861969064072,0.8761604999999999,3.214860636535372
null,50,search,0.9,4.3779381130814725,0.8696490000000001,3.1840083351898896
null,50,search,1.0,4.441298702696784,0.8599723749999992,3.133267571836202
null,50,fixed,0.0,4.28772448970719,0.8922680000000001,3.342877331910618
null,50,fixed,0.1,4.2657213441595605,0.895907,3.36154398883947
null,50,fixed,0.2,4.250697197072404,0.898989875,3.38021064576832
null,50,fixed,0.3,4.242105487617674,0.9015682500000001,3.398877302697168
null,50,fixed,0.4,4.239524930061051,0.9036687499999991,3.4175439596260198
null,50,fixed,0.5,4.24253128197258,0.9052948749999999,3.436210616554869
null,50,fixed,0.6,4.250807997714761,0.90650825,3.454877273483718
null,50,fixed,0.7,4.264032339936874,0.9072758749999995,3.4735439304125695
null,50,fixed,0.8,4.281949507779716,0.9076123750000002,3.492210587341416
null,50,fixed,0.9,4.304383411162786,0.9075681249999997,3.510877244270264
null,50,fixed,1.0,4.331231448330319,0.9071018750000005,3.529543901199116
