dgp,Ts,family,lam,rule,score,coverage,width
shape,50,plain,0.3,,4.65085919199279,0.8591507499999999,1.5489544003463256
shape,50,plain,0.4,,4.629202960616923,0.864142375,1.562025537978742
shape,50,plain,0.5,,4.608704219711091,0.8674825,1.57165247552207
shape,50,plain,0.6,,4.591394607074865,0.8703769999999994,1.576936936709791
shape,50,plain,0.7,,4.5739123126568515,0.8713612499999998,1.5788646656206309
shape,50,plain,0.8,,4.56092484332038,0.8726361250000001,1.575683094270517
shape,50,plain,0.9,,4.544348257630166,0.8709128750000003,1.565536563142518
shape,50,plain,1.0,,4.519226199887155,0.8579767500000001,1.54298125247678
shape,50,corrected,0.0,,4.731625940507598,0.8361348750000005,1.4912661456217506
shape,50,corrected,0.1,,4.660936230646338,0.8509101249999997,1.5530500832185608
shape,50,corrected,0.2,,4.582110366179061,0.8618441249999993,1.6029071213017865
shape,50,corrected,0.3,,4.5414076001614605,0.8701581250000001,1.6481124264840816
shape,50,corrected,0.4,,4.496331889325158,0.876631875,1.6866215397356779
shape,50,corrected,0.5,,4.48375589598531,0.8809055,1.7183778385686674
shape,50,corrected,0.6,,4.452862325301716,0.8850202500000004,1.7421044422193128
shape,50,corrected,0.7,,4.448518765997925,0.8864377500000002,1.7579924900127564
shape,50,corrected,0.8,,4.425004868338687,0.8891242499999996,1.7645635810281293
shape,50,corrected,0.9,,4.389029189912009,0.8899938749999997,1.7625222256918822
shape,50,corrected,1.0,,4.337481853204612,0.8789305000000005,1.7519599600568676
shape,50,corrected,0.721,cv_score,4.346985669806892,0.878024625,1.7640682272481127
shape,50,corrected,0.8270000000000001,cv_cov,4.387532210079886,0.8857916250000001,1.7906269793535696
mixed,20,plain,0.0,,9.75704453195839,0.8171491250000006,3.2459874205811947
mixed,20,plain,0.1,,9.671702806420791,0.8305531250000001,3.263493848981487
mixed,20,plain,0.2,,9.612986822795284,0.8390432499999999,3.266528140125257
mixed,20,plain,0.3,,9.542112859641405,0.8462079999999998,3.2608674119111454
mixed,20,plain,0.4,,9.524743361722251,0.8501658750000002,3.2475198555846343
mixed,20,plain,0.5,,9.502439830533252,0.85115875,3.225466354710974
mixed,20,plain,0.6,,9.490002840296164,0.8507992500000006,3.1955129780763945
mixed,20,plain,0.7,,9.485364661672392,0.8496176249999998,3.15580555495259
mixed,20,plain,0.8,,9.467276669177933,0.8472051249999997,3.1058825474963503
mixed,20,plain,0.9,,9.446572930415725,0.8389046250000005,3.0432077700470175
mixed,20,plain,1.0,,9.45774302077814,0.8047040000000002,2.9611555415432127
mixed,20,corrected,0.0,,9.69634466896967,0.8260413750000002,3.317373356957939
mixed,20,corrected,0.1,,9.508711450624508,0.8475955000000008,3.5572816801046114
mixed,20,corrected,0.2,,9.443436086826143,0.8620028749999995,3.7022769578233845
mixed,20,corrected,0.3,,9.351206527305903,0.8724036249999998,3.8022526627218
