T,method,season,coverage_mean,coverage_se,width_mean
480,Pooled,2,0.7865000000000001,0.008505218986010884,6.363889570268576
480,Pooled,3,0.955,0.004782781617427247,6.374837024449387
480,Pooled,4,0.9435000000000001,0.0049283617967839964,6.38446510928113
480,Pooled,5,0.9445000000000001,0.004984852053973116,6.383341071837958
480,Pooled,6,0.9430000000000001,0.005723198406485659,6.383365848484184
480,Pooled,7,0.9395000000000002,0.0051428348213801295,6.383411708126358
480,Pooled,8,0.7935000000000001,0.009275707520184107,6.372577385031346
480,Pooled,9,0.7775,0.009339097922176425,6.3624166103191335
480,Pooled,10,0.9520000000000001,0.004688283267892416,6.371223051621149
480,Pooled,11,0.941,0.005253094326204318,6.382025927863349
480,Pooled,12,0.9365000000000001,0.005156428027229701,6.380911689346051
480,Pooled,0,0.8912916666666666,0.001988069886850058,6.376401540368488
480,EnbPI-N,1,0.8775,0.00788788628214175,9.43345029005608
480,EnbPI-N,2,0.889,0.007899050575860368,9.283413200893511
480,EnbPI-N,3,0.8920000000000001,0.007561745830163826,4.914741602853889
480,EnbPI-N,4,0.8760000000000002,0.007817928114276826,4.840719550296601
480,EnbPI-N,5,0.8900000000000001,0.0073824115301167,4.8694392142980485
480,EnbPI-N,6,0.89,0.00824621125123532,4.971179851622716
480,EnbPI-N,7,0.879,0.008080532160693378,4.90778221564421
480,EnbPI-N,8,0.8870000000000001,0.007526951574176627,9.428588003503155
480,EnbPI-N,9,0.8760000000000001,0.007721398836998384,9.419941209069668
480,EnbPI-N,10,0.8955000000000001,0.007625532768272653,4.992843340282245
480,EnbPI-N,11,0.879,0.00786097958272377,4.832169748539764
480,EnbPI-N,12,0.879,0.008294275134090983,4.9189683296493945
480,EnbPI-N,0,0.8841666666666669,0.0021521952616908265,6.401103046392439
480,EnbPI-S,1,0.8315,0.007955422678902738,8.200502378375251
480,EnbPI-S,2,0.8450000000000002,0.007407766195014528,8.1354786848005
480,EnbPI-S,3,0.8440000000000001,0.008649855490122363,4.265240755200082
480,EnbPI-S,4,0.8425000000000001,0.00779222368775435,4.2875936688931855
480,EnbPI-S,5,0.8455000000000001,0.0077070584531324276,4.253839530800439
480,EnbPI-S,6,0.8445000000000001,0.008737777177291716,4.200653169608381
480,EnbPI-S,7,0.8465000000000003,0.007545776964633928,4.26484436261744
480,EnbPI-S,8,0.8440000000000001,0.008051086883148137,8.143129334276322
480,EnbPI-S,9,0.8430000000000001,0.008015921656303784,8.235490090703534
480,EnbPI-S,10,0.8410000000000001,0.007911700196544356,4.23197989570174
480,EnbPI-S,11,0.835,0.007640353394968063,4.198031715644873
480,EnbPI-S,12,0.8284999999999999,0.007885984402723607,4.183966241068131
480,EnbPI-S,0,0.8409166666666666,0.0025645757175624803,5.550062485640824
480,Pooled-C,1,0.7880000000000001,0.008560373823613078,6.489462159361994
480,Pooled-C,2,0.7955000000000001,0.008581884991072765,6.479167135949252
480,Pooled-C,3,0.9555,0.004780036610738457,6.490008898130923
480,Pooled-C,4,0.9475000000000001,0.004687083314813168,6.499784718685209
480,Pooled-C,5,0.9475,0.004740121306464635,6.498493613937862
480,Pooled-C,6,0.9455000000000001,0.005603458753305854,6.498047944456917
480,Pooled-C,7,0.9430000000000001,0.005074938423271755,6.497892995401855
480,Pooled-C,8,0.8005000000000001,0.009151434313811142,6.487607136084954
480,Pooled-C,9,0.786,0.009138927727036691,6.477283992611899
480,Pooled-C,10,0.9565,0.0045043034977674395,6.4873075097063335
480,Pooled-C,11,0.9430000000000001,0.00531554324599095,6.497802415184542
480,Pooled-C,12,0.9400000000000002,0.004999999999999998,6.497338775408704
480,Pooled-C,0,0.8957083333333332,0.0019409489911152,6.491683107910037
480,EnbPI-N-C,1,0.879,0.007700324668479895,9.600498015395365
480,EnbPI-N-C,2,0.8925000000000002,0.007776165507497895,9.44537681400499
480,EnbPI-N-C,3,0.8960000000000001,0.007376991256603196,5.001220751144006
480,EnbPI-N-C,4,0.8825000000000002,0.007397212312756745,4.926251244953971
480,EnbPI-N-C,5,0.8955000000000001,0.007255945837725085,4.955437664042376
480,EnbPI-N-C,6,0.8930000000000001,0.008047049148600995,5.059270062492811
480,EnbPI-N-C,7,0.8835000000000002,0.007575536284646784,4.994194299999225
480,EnbPI-N-C,8,0.8910000000000002,0.007422600622423383,9.595381498740148
480,EnbPI-N-C,9,0.879,0.007602302282861423,9.588317279333348
480,EnbPI-N-C,10,0.8995000000000002,0.007499916666203697,5.0812511547274415
480,EnbPI-N-C,11,0.8835000000000002,0.007673900572720499,4.917926548628465
480,EnbPI-N-C,12,0.8810000000000001,0.007790699583477725,5.005831763988296
480,EnbPI-N-C,0,0.888,0.002109535230539867,6.514246424787537
480,EnbPI-S-C,1,0.8690000000000001,0.00749633243659858,10.003244283399574
